full_name,batch,stars,license,in_bugsinpy,e5_pass,e6_pass,py_bytes,loc_est,bucket,small_candidate
3b1b/manim,stars>5000,86722,mit,False,True,True,791694,22619,medium,False
sherlock-project/sherlock,stars>5000,83184,mit,False,True,True,81389,2325,small_strict,True
bregman-arie/devops-exercises,stars>5000,82273,other,False,False,True,0,0,,False
fighting41love/funNLP,stars>5000,80561,,False,False,True,0,0,,False
karpathy/autoresearch,stars>5000,80199,,False,False,True,0,0,,False
infiniflow/ragflow,stars>5000,80179,apache-2.0,False,True,True,8019595,229131,out_of_range,False
vllm-project/vllm,stars>5000,79570,apache-2.0,False,True,True,34405257,983007,out_of_range,False
d2l-ai/d2l-zh,stars>5000,77759,apache-2.0,False,True,True,427646,12218,medium,False
tensorflow/models,stars>5000,77660,other,False,False,True,0,0,,False
swisskyrepo/PayloadsAllTheThings,stars>5000,77612,mit,False,True,True,80988,2313,small_strict,True
PaddlePaddle/PaddleOCR,stars>5000,77549,apache-2.0,False,True,True,3817786,109079,large,False
nextlevelbuilder/ui-ux-pro-max-skill,stars>5000,76432,mit,False,True,True,381934,10912,medium,False
Z4nzu/hackingtool,stars>5000,73409,mit,False,True,True,185985,5313,medium,False
TauricResearch/TradingAgents,stars>5000,73133,apache-2.0,False,True,True,340050,9715,medium,False
OpenHands/OpenHands,stars>5000,73067,other,False,False,True,0,0,,False
python/cpython,stars>5000,72634,other,False,False,True,0,0,,False
josephmisiti/awesome-machine-learning,stars>5000,72435,other,False,False,True,0,0,,False
pallets/flask,stars>5000,71512,bsd-3-clause,False,True,True,566008,16171,medium,False
hiyouga/LlamaFactory,stars>5000,71111,apache-2.0,False,True,True,1885510,53871,large,False
binary-husky/gpt_academic,stars>5000,70602,gpl-3.0,False,True,True,2710103,77431,large,False
ansible/ansible,stars>5000,68496,gpl-3.0,True,True,True,0,0,,False
FoundationAgents/MetaGPT,stars>5000,67854,mit,False,True,True,3214882,91853,large,False
OpenBB-finance/OpenBB,stars>5000,67349,other,False,False,True,0,0,,False
labmlai/annotated_deep_learning_paper_implementations,stars>5000,66580,mit,False,True,True,1388261,39664,large,False
bytedance/deer-flow,stars>5000,66488,mit,False,True,True,4077527,116500,large,False
xtekky/gpt4free,stars>5000,66200,gpl-3.0,False,True,True,2311352,66038,large,False
scikit-learn/scikit-learn,stars>5000,66028,bsd-3-clause,False,True,True,13067383,373353,out_of_range,False
unclecode/crawl4ai,stars>5000,65333,apache-2.0,False,True,True,4186768,119621,large,False
localstack/localstack,stars>5000,64901,other,False,False,False,0,0,,False
keras-team/keras,stars>5000,64060,apache-2.0,True,True,True,0,0,,False
unslothai/unsloth,stars>5000,63931,apache-2.0,False,True,True,6051499,172899,large,False
openinterpreter/open-interpreter,stars>5000,63461,agpl-3.0,False,True,True,756721,21620,medium,False
pathwaycom/pathway,stars>5000,63263,other,False,False,True,0,0,,False
opendatalab/MinerU,stars>5000,62548,other,False,False,True,0,0,,False
Asabeneh/30-Days-Of-Python,stars>5000,62302,,False,False,True,0,0,,False
scrapy/scrapy,stars>5000,61606,bsd-3-clause,True,True,True,0,0,,False
commaai/openpilot,stars>5000,60884,mit,False,True,True,2588054,73944,large,False
666ghj/MiroFish,stars>5000,59943,agpl-3.0,False,True,True,762342,21781,medium,False
CorentinJ/Real-Time-Voice-Cloning,stars>5000,59727,other,False,False,True,0,0,,False
docling-project/docling,stars>5000,59500,mit,False,True,True,2467799,70508,large,False
meta-llama/llama,stars>5000,59409,other,False,False,True,0,0,,False
ComposioHQ/awesome-claude-skills,stars>5000,59072,,False,False,True,0,0,,False
virattt/ai-hedge-fund,stars>5000,58504,,False,False,True,0,0,,False
microsoft/autogen,stars>5000,57888,cc-by-4.0,False,False,True,0,0,,False
karpathy/nanoGPT,stars>5000,57820,mit,False,True,True,51670,1476,small_strict,True
RVC-Boss/GPT-SoVITS,stars>5000,57358,mit,False,True,True,1792578,51216,large,False
ultralytics/yolov5,stars>5000,57350,agpl-3.0,False,True,True,792635,22646,medium,False
zylon-ai/private-gpt,stars>5000,57207,apache-2.0,False,True,True,239830,6852,medium,False
sansan0/TrendRadar,stars>5000,57191,gpl-3.0,False,True,True,1260512,36014,large,False
harry0703/MoneyPrinterTurbo,stars>5000,57014,mit,False,True,True,263625,7532,medium,False
ultralytics/ultralytics,stars>5000,56962,agpl-3.0,False,True,True,3133752,89535,large,False
soimort/you-get,stars>5000,56850,other,False,False,True,0,0,,False
ageitgey/face_recognition,stars>5000,56391,mit,False,True,True,35036,1001,small_strict,True
Textualize/rich,stars>5000,56308,mit,False,True,True,1701402,48611,large,False
FoundationAgents/OpenManus,stars>5000,56178,mit,False,True,True,465045,13287,medium,False
mem0ai/mem0,stars>5000,55319,apache-2.0,False,True,True,3292328,94066,large,False
deepfakes/faceswap,stars>5000,55224,gpl-3.0,False,True,True,3755794,107308,large,False
AntonOsika/gpt-engineer,stars>5000,55215,mit,False,True,False,0,0,,False
Zie619/n8n-workflows,stars>5000,54275,mit,False,True,True,260518,7443,medium,False
psf/requests,stars>5000,53977,apache-2.0,False,True,True,388248,11092,medium,False
karpathy/nanochat,stars>5000,53209,mit,False,True,True,404782,11565,medium,False
MemPalace/mempalace,stars>5000,51868,mit,False,True,True,2346924,67054,large,False
xai-org/grok-1,stars>5000,51539,apache-2.0,False,True,True,77280,2208,small_strict,True
crewAIInc/crewAI,stars>5000,51084,mit,False,True,True,8627047,246487,out_of_range,False
charlax/professional-programming,stars>5000,50799,mit,False,True,True,1605,45,out_of_range,False
odoo/odoo,stars>5000,50575,other,False,False,True,0,0,,False
freqtrade/freqtrade,stars>5000,50111,gpl-3.0,False,True,True,5084565,145273,large,False
jingyaogong/minimind,stars>5000,49436,apache-2.0,False,True,True,259005,7400,medium,False
NanmiCoder/MediaCrawler,stars>5000,49326,other,False,False,True,0,0,,False
run-llama/llama_index,stars>5000,49304,mit,False,True,True,15733672,449533,out_of_range,False
pandas-dev/pandas,stars>5000,48715,bsd-3-clause,True,True,True,0,0,,False
D4Vinci/Scrapling,stars>5000,48489,bsd-3-clause,False,True,True,895029,25572,medium,False
lllyasviel/Fooocus,stars>5000,48450,gpl-3.0,False,True,True,2003568,57244,large,False
minimaxir/big-list-of-naughty-strings,stars>5000,47627,mit,False,True,True,1808,51,out_of_range,False
oobabooga/textgen,stars>5000,46972,agpl-3.0,False,True,True,1086169,31033,large,False
microsoft/VibeVoice,stars>5000,46936,mit,False,True,True,586388,16753,medium,False
BerriAI/litellm,stars>5000,46420,other,False,False,True,0,0,,False
datawhalechina/hello-agents,stars>5000,46408,other,False,False,True,0,0,,False
safishamsi/graphify,stars>5000,46061,mit,False,True,True,1173072,33516,large,False
apache/airflow,stars>5000,45344,apache-2.0,False,True,True,54151884,1547196,out_of_range,False
coqui-ai/TTS,stars>5000,45260,mpl-2.0,False,True,True,2992534,85500,large,False
9001/copyparty,stars>5000,44779,mit,False,True,True,1867072,53344,large,False
Aider-AI/aider,stars>5000,44624,apache-2.0,False,True,True,1333199,38091,large,False
streamlit/streamlit,stars>5000,44530,apache-2.0,False,True,True,10489628,299703,out_of_range,False
SimplifyJobs/Summer2026-Internships,stars>5000,44512,,False,False,True,0,0,,False
exo-explore/exo,stars>5000,44487,apache-2.0,False,True,True,2438362,69667,large,False
zhayujie/CowAgent,stars>5000,44289,mit,False,True,True,2163711,61820,large,False
hiroi-sora/Umi-OCR,stars>5000,44091,mit,False,True,True,481258,13750,medium,False
getsentry/sentry,stars>5000,43813,other,False,False,True,0,0,,False
mitmproxy/mitmproxy,stars>5000,43461,mit,False,True,True,2742073,78344,large,False
hesreallyhim/awesome-claude-code,stars>5000,43261,other,False,False,True,0,0,,False
faif/python-patterns,stars>5000,42728,,False,False,True,0,0,,False
gradio-app/gradio,stars>5000,42544,apache-2.0,False,True,True,3837860,109653,large,False
microsoft/qlib,stars>5000,42495,mit,False,True,True,2401041,68601,large,False
ray-project/ray,stars>5000,42485,apache-2.0,False,True,True,40635749,1161021,out_of_range,False
ccxt/ccxt,stars>5000,42376,mit,False,True,True,37446428,1069897,out_of_range,False
deepspeedai/DeepSpeed,stars>5000,42299,apache-2.0,False,True,True,6583377,188096,large,False
apachecn/ailearning,stars>5000,42249,other,False,False,True,0,0,,False
mingrammer/diagrams,stars>5000,42242,mit,False,True,True,290435,8298,medium,False
HKUDS/nanobot,stars>5000,42142,mit,False,True,True,3495224,99863,large,False
psf/black,stars>5000,41490,mit,True,True,True,0,0,,False
hpcaitech/ColossalAI,stars>5000,41379,apache-2.0,False,True,True,9840774,281164,out_of_range,False
chubin/cheat.sh,stars>5000,41367,mit,False,True,True,179230,5120,medium,False
zai-org/ChatGLM-6B,stars>5000,41108,apache-2.0,False,True,True,250116,7146,medium,False
666ghj/BettaFish,stars>5000,40840,gpl-2.0,False,True,True,2147353,61352,large,False
paperless-ngx/paperless-ngx,stars>5000,40509,gpl-3.0,False,True,True,3645895,104168,large,False
vnpy/vnpy,stars>5000,40342,mit,False,True,True,415844,11881,medium,False
agno-agi/agno,stars>5000,40042,apache-2.0,False,True,True,26604759,760135,out_of_range,False
google-research/bert,stars>5000,40010,apache-2.0,False,True,False,0,0,,False
floodsung/Deep-Learning-Papers-Reading-Roadmap,stars>5000,39496,,False,False,True,0,0,,False
lm-sys/FastChat,stars>5000,39466,apache-2.0,False,True,True,1181594,33759,large,False
2noise/ChatTTS,stars>5000,39230,agpl-3.0,False,True,True,333880,9539,medium,False
mindsdb/mindsdb,stars>5000,39143,other,False,False,True,0,0,,False
QuivrHQ/quivr,stars>5000,39138,other,False,False,True,0,0,,False
microsoft/BitNet,stars>5000,38928,mit,False,True,True,427572,12216,medium,False
roboflow/supervision,stars>5000,38454,mit,False,True,True,1804077,51545,large,False
gto76/python-cheatsheet,stars>5000,38388,,False,False,True,0,0,,False
ManimCommunity/manim,stars>5000,38215,mit,False,True,True,2908434,83098,large,False
httpie/cli,stars>5000,38067,bsd-3-clause,False,True,True,573376,16382,medium,False
chatchat-space/Langchain-Chatchat,stars>5000,37987,apache-2.0,False,True,True,990158,28290,medium,False
TencentARC/GFPGAN,stars>5000,37444,other,False,False,True,0,0,,False
LAION-AI/Open-Assistant,stars>5000,37413,apache-2.0,False,True,True,1851071,52887,large,False
sqlmapproject/sqlmap,stars>5000,37313,other,False,False,True,0,0,,False
0voice/interview_internal_reference,stars>5000,37224,,False,False,True,0,0,,False
openai/gym,stars>5000,37188,other,False,False,False,0,0,,False
sickn33/antigravity-awesome-skills,stars>5000,37039,mit,False,True,True,10546819,301337,out_of_range,False
satwikkansal/wtfpython,stars>5000,36927,wtfpl,False,False,True,0,0,,False
babysor/MockingBird,stars>5000,36896,other,False,False,True,0,0,,False
huggingface/pytorch-image-models,stars>5000,36766,apache-2.0,False,True,True,5034451,143841,large,False
myshell-ai/OpenVoice,stars>5000,36486,mit,False,True,True,121795,3479,small_strict,True
google/langextract,stars>5000,36421,apache-2.0,False,True,True,999746,28564,medium,False
hankcs/HanLP,stars>5000,36306,apache-2.0,False,True,True,2436565,69616,large,False
XingangPan/DragGAN,stars>5000,35876,other,False,False,True,0,0,,False
Textualize/textual,stars>5000,35819,mit,False,True,True,4124400,117840,large,False
jax-ml/jax,stars>5000,35585,apache-2.0,False,True,True,20705587,591588,out_of_range,False
mouredev/Hello-Python,stars>5000,35553,apache-2.0,False,True,True,41595,1188,small_strict,True
RVC-Project/Retrieval-based-Voice-Conversion-WebUI,stars>5000,35536,mit,False,True,True,731205,20891,medium,False
xinntao/Real-ESRGAN,stars>5000,35366,bsd-3-clause,False,True,True,116077,3316,small_strict,True
wshobson/agents,stars>5000,35127,mit,False,True,True,178374,5096,medium,False
geekcomputers/Python,stars>5000,35003,mit,False,True,True,6311615,180331,large,False
HKUDS/LightRAG,stars>5000,35000,mit,False,True,True,3635910,103883,large,False
ZhuLinsen/daily_stock_analysis,stars>5000,34993,mit,False,True,True,4459602,127417,large,False
fxsjy/jieba,stars>5000,34937,mit,False,True,True,7349705,209991,out_of_range,False
datalab-to/marker,stars>5000,34916,gpl-3.0,False,True,True,620885,17739,medium,False
khoj-ai/khoj,stars>5000,34486,agpl-3.0,False,True,True,1636530,46758,large,False
facebookresearch/detectron2,stars>5000,34457,apache-2.0,False,True,True,3311796,94622,large,False
PostHog/posthog,stars>5000,34392,other,False,False,True,0,0,,False
stanfordnlp/dspy,stars>5000,34311,mit,False,True,True,1950842,55738,large,False
python-poetry/poetry,stars>5000,34269,mit,False,True,True,2279906,65140,large,False
testerSunshine/12306,stars>5000,34178,mit,False,True,False,0,0,,False
HKUDS/CLI-Anything,stars>5000,34136,apache-2.0,False,True,True,8124031,232115,out_of_range,False
chenfei-wu/TaskMatrix,stars>5000,34130,other,False,False,True,0,0,,False
lllyasviel/ControlNet,stars>5000,33868,apache-2.0,False,True,True,2267672,64790,large,False
Pythagora-io/gpt-pilot,stars>5000,33773,other,False,False,True,0,0,,False
frappe/erpnext,stars>5000,33732,gpl-3.0,False,True,True,10073776,287822,out_of_range,False
PDFMathTranslate/PDFMathTranslate,stars>5000,33643,agpl-3.0,False,True,True,241172,6890,medium,False
ocrmypdf/OCRmyPDF,stars>5000,33591,mpl-2.0,False,True,True,1077003,30771,large,False
shadowsocks/shadowsocks,stars>5000,33590,,False,False,True,0,0,,False
huggingface/diffusers,stars>5000,33586,apache-2.0,False,True,True,29936414,855326,out_of_range,False
explosion/spaCy,stars>5000,33560,mit,True,True,True,0,0,,False
XX-net/XX-Net,stars>5000,33450,,False,False,True,0,0,,False
OpenBMB/ChatDev,stars>5000,33051,apache-2.0,False,True,True,1072081,30630,large,False
certbot/certbot,stars>5000,33027,other,False,False,True,0,0,,False
microsoft/graphrag,stars>5000,32882,mit,False,True,True,1678569,47959,large,False
kovidgoyal/kitty,stars>5000,32866,gpl-3.0,False,True,True,2962023,84629,large,False
open-mmlab/mmdetection,stars>5000,32664,apache-2.0,False,True,True,8941197,255462,out_of_range,False
tinygrad/tinygrad,stars>5000,32655,mit,False,True,True,19599457,559984,out_of_range,False
github/awesome-copilot,stars>5000,32600,mit,False,True,True,2683370,76667,large,False
0xAX/linux-insides,stars>5000,32543,other,False,False,True,0,0,,False
nicolargo/glances,stars>5000,32479,other,False,False,True,0,0,,False
yunjey/pytorch-tutorial,stars>5000,32328,mit,False,True,True,72066,2059,small_strict,True
spotify/basic-pitch,stars:1000-5000,4999,apache-2.0,False,True,True,257226,7349,medium,False
tencentmusic/cube-studio,stars:1000-5000,4997,other,False,False,True,0,0,,False
Instagram/MonkeyType,stars:1000-5000,4996,other,False,False,True,0,0,,False
amanusk/s-tui,stars:1000-5000,4994,gpl-2.0,False,True,True,333125,9517,medium,False
karpathy/build-nanogpt,stars:1000-5000,4993,,False,False,True,0,0,,False
yisol/IDM-VTON,stars:1000-5000,4991,other,False,False,True,0,0,,False
cjhutto/vaderSentiment,stars:1000-5000,4987,mit,False,True,True,37745,1078,small_strict,True
gpustack/gpustack,stars:1000-5000,4988,apache-2.0,False,True,True,3776097,107888,large,False
Yuukiy/JavSP,stars:1000-5000,4987,gpl-3.0,False,True,True,255242,7292,medium,False
apurvsinghgautam/robin,stars:1000-5000,4983,mit,False,True,True,59937,1712,small_strict,True
jorgebastida/awslogs,stars:1000-5000,4981,other,False,False,True,0,0,,False
khast3x/h8mail,stars:1000-5000,4978,other,False,False,True,0,0,,False
jazzband/django-silk,stars:1000-5000,4966,mit,False,True,True,261816,7480,medium,False
argilla-io/argilla,stars:1000-5000,4966,apache-2.0,False,True,True,5027742,143649,large,False
SCIR-HI/Huatuo-Llama-Med-Chinese,stars:1000-5000,4965,apache-2.0,False,True,True,30740,878,small_extended,True
roboflow/sports,stars:1000-5000,4966,mit,False,True,True,25973,742,small_extended,True
shibing624/text2vec,stars:1000-5000,4963,apache-2.0,False,True,True,231060,6601,medium,False
h2oai/h2o-llmstudio,stars:1000-5000,4962,apache-2.0,False,True,True,864295,24694,medium,False
dschep/ntfy,stars:1000-5000,4961,gpl-3.0,False,True,True,83750,2392,small_strict,True
pritunl/pritunl,stars:1000-5000,4961,other,False,False,True,0,0,,False
OpenGVLab/DragGAN,stars:1000-5000,4959,,False,False,True,0,0,,False
quantumlib/Cirq,stars:1000-5000,4953,apache-2.0,False,True,True,10446887,298482,out_of_range,False
deepseek-ai/smallpond,stars:1000-5000,4952,mit,False,True,True,598782,17108,medium,False
dpgaspar/Flask-AppBuilder,stars:1000-5000,4951,bsd-3-clause,False,True,True,1289736,36849,large,False
google/google-ctf,stars:1000-5000,4948,apache-2.0,False,True,True,13444288,384122,out_of_range,False
cloudtools/troposphere,stars:1000-5000,4945,bsd-2-clause,False,True,True,4207685,120219,large,False
python-jsonschema/jsonschema,stars:1000-5000,4945,mit,False,True,True,384000,10971,medium,False
googlemaps/google-maps-services-python,stars:1000-5000,4942,apache-2.0,False,True,True,181971,5199,medium,False
r0oth3x49/udemy-dl,stars:1000-5000,4942,mit,False,True,False,0,0,,False
togethercomputer/RedPajama-Data,stars:1000-5000,4939,apache-2.0,False,True,True,223920,6397,medium,False
JakeWharton/pidcat,stars:1000-5000,4939,apache-2.0,False,True,True,12801,365,out_of_range,False
corna/me_cleaner,stars:1000-5000,4939,gpl-3.0,False,True,True,38162,1090,small_strict,True
transformerlab/transformerlab-app,stars:1000-5000,4939,agpl-3.0,False,True,True,3495783,99879,large,False
gd3kr/BlenderGPT,stars:1000-5000,4934,mit,False,True,True,2345859,67024,large,False
ecthros/uncaptcha2,stars:1000-5000,4930,,False,False,True,0,0,,False
qubvel/segmentation_models,stars:1000-5000,4926,mit,False,True,True,127086,3631,small_strict,True
hiyouga/EasyR1,stars:1000-5000,4926,apache-2.0,False,True,True,429875,12282,medium,False
minimaxir/textgenrnn,stars:1000-5000,4925,other,False,False,True,0,0,,False
10se1ucgo/DisableWinTracking,stars:1000-5000,4919,lgpl-3.0,False,True,False,0,0,,False
Bitwise-01/Instagram-,stars:1000-5000,4917,mit,False,True,True,50777,1450,small_strict,True
digitalinnovationone/trilha-python-dio,stars:1000-5000,4918,,False,False,True,0,0,,False
microsoft/muzic,stars:1000-5000,4911,mit,False,True,True,3382883,96653,large,False
macanv/BERT-BiLSTM-CRF-NER,stars:1000-5000,4904,,False,False,True,0,0,,False
hect0x7/JMComic-APK,stars:1000-5000,4897,,False,False,True,0,0,,False
lincolnloop/python-qrcode,stars:1000-5000,4897,other,False,False,True,0,0,,False
navdeep-G/samplemod,stars:1000-5000,4891,bsd-2-clause,False,True,True,1228,35,out_of_range,False
SWE-bench/SWE-bench,stars:1000-5000,4890,mit,False,True,True,600939,17169,medium,False
jcjohnson/pytorch-examples,stars:1000-5000,4889,mit,False,True,True,22663,647,small_extended,True
sktime/pytorch-forecasting,stars:1000-5000,4884,mit,False,True,True,1406067,40173,large,False
s3tools/s3cmd,stars:1000-5000,4878,gpl-2.0,False,True,True,542699,15505,medium,False
Mai-with-u/MaiBot,stars:1000-5000,4878,gpl-3.0,False,True,True,6630036,189429,large,False
newton-physics/newton,stars:1000-5000,4877,apache-2.0,False,True,True,14751831,421480,out_of_range,False
sublimehq/package_control,stars:1000-5000,4874,mit,False,True,True,2380070,68002,large,False
lm-sys/RouteLLM,stars:1000-5000,4870,apache-2.0,False,True,True,92638,2646,small_strict,True
NVIDIA-AI-IOT/torch2trt,stars:1000-5000,4867,mit,False,True,True,227664,6504,medium,False
andresriancho/w3af,stars:1000-5000,4867,,False,False,True,0,0,,False
SpiderLabs/Responder,stars:1000-5000,4863,gpl-3.0,False,True,False,0,0,,False
ets-labs/python-dependency-injector,stars:1000-5000,4863,bsd-3-clause,False,True,True,567147,16204,medium,False
thunlp/OpenPrompt,stars:1000-5000,4862,apache-2.0,False,True,True,683120,19517,medium,False
pudo/dataset,stars:1000-5000,4859,mit,False,True,True,82296,2351,small_strict,True
huggingface/nanoVLM,stars:1000-5000,4858,apache-2.0,False,True,True,244658,6990,medium,False
MechanicalSoup/MechanicalSoup,stars:1000-5000,4857,mit,False,True,True,121576,3473,small_strict,True
ant-research/CoDeF,stars:1000-5000,4857,other,False,False,True,0,0,,False
tyxsspa/AnyText,stars:1000-5000,4853,apache-2.0,False,True,True,717234,20492,medium,False
metabrainz/picard,stars:1000-5000,4849,gpl-2.0,False,True,True,7431637,212332,out_of_range,False
mzucker/noteshrink,stars:1000-5000,4847,mit,False,True,True,17714,506,small_extended,True
ohld/igbot,stars:1000-5000,4846,apache-2.0,False,True,True,451137,12889,medium,False
yanx27/Pointnet_Pointnet2_pytorch,stars:1000-5000,4845,mit,False,True,True,268200,7662,medium,False
bitsadmin/wesng,stars:1000-5000,4844,bsd-3-clause,False,True,True,49684,1419,small_strict,True
google-deepmind/alphageometry,stars:1000-5000,4838,apache-2.0,False,True,True,380279,10865,medium,False
stephenmcd/mezzanine,stars:1000-5000,4830,bsd-2-clause,False,True,True,670269,19150,medium,False
amnweb/yasb,stars:1000-5000,4828,other,False,False,True,0,0,,False
YILING0013/AI_NovelGenerator,stars:1000-5000,4827,agpl-3.0,False,True,True,363531,10386,medium,False
pywebio/PyWebIO,stars:1000-5000,4823,mit,False,True,True,440913,12597,medium,False
idealo/image-super-resolution,stars:1000-5000,4820,apache-2.0,False,True,False,0,0,,False
KaiyangZhou/deep-person-reid,stars:1000-5000,4820,mit,False,True,True,641892,18339,medium,False
remsky/Kokoro-FastAPI,stars:1000-5000,4819,apache-2.0,False,True,True,353490,10099,medium,False
blocklistproject/Lists,stars:1000-5000,4812,unlicense,False,True,True,127984,3656,small_strict,True
geopy/geopy,stars:1000-5000,4811,mit,False,True,True,578460,16527,medium,False
Picovoice/porcupine,stars:1000-5000,4810,apache-2.0,False,True,True,47615,1360,small_strict,True
RomelTorres/alpha_vantage,stars:1000-5000,4810,mit,False,True,True,188240,5378,medium,False
Kiln-AI/Kiln,stars:1000-5000,4807,other,False,False,True,0,0,,False
baserow/baserow,stars:1000-5000,4807,other,False,False,True,0,0,,False
lk-geimfari/mimesis,stars:1000-5000,4804,mit,False,True,True,1251183,35748,large,False
mangiucugna/json_repair,stars:1000-5000,4805,mit,False,True,True,310201,8862,medium,False
RICHQAQ/PasteMD,stars:1000-5000,4803,agpl-3.0,False,True,True,604987,17285,medium,False
benedekrozemberczki/awesome-graph-classification,stars:1000-5000,4803,cc0-1.0,False,False,True,0,0,,False
zedr/clean-code-python,stars:1000-5000,4797,mit,False,True,True,43886,1253,small_strict,True
automatic-ripping-machine/automatic-ripping-machine,stars:1000-5000,4793,mit,False,True,True,442680,12648,medium,False
Tracer-Cloud/opensre,stars:1000-5000,4792,apache-2.0,False,True,True,8741476,249756,out_of_range,False
SpiderClub/weibospider,stars:1000-5000,4790,mit,False,True,True,168292,4808,small_strict,True
CollegesChat/university-information,stars:1000-5000,4789,,False,False,True,0,0,,False
listen1/listen1,stars:1000-5000,4788,mit,False,True,True,95024,2714,small_strict,True
Breakthrough/PySceneDetect,stars:1000-5000,4788,bsd-3-clause,False,True,True,726283,20750,medium,False
xlang-ai/OpenAgents,stars:1000-5000,4786,apache-2.0,False,True,True,771132,22032,medium,False
MoonInTheRiver/DiffSinger,stars:1000-5000,4782,mit,False,True,True,526768,15050,medium,False
0x5e/wechat-deleted-friends,stars:1000-5000,4782,,False,False,False,0,0,,False
UX-Decoder/Segment-Everything-Everywhere-All-At-Once,stars:1000-5000,4781,apache-2.0,False,True,True,1299792,37136,large,False
ParisNeo/lollms-webui,stars:1000-5000,4782,apache-2.0,False,True,True,5115872,146167,large,False
chenyme/grok2api,stars:1000-5000,4779,mit,False,True,True,834881,23853,medium,False
Nixtla/statsforecast,stars:1000-5000,4778,apache-2.0,False,True,True,891829,25480,medium,False
senguptaumd/Background-Matting,stars:1000-5000,4775,,False,False,True,0,0,,False
hynek/structlog,stars:1000-5000,4774,other,False,False,True,0,0,,False
dmMaze/BallonsTranslator,stars:1000-5000,4773,gpl-3.0,False,True,True,1778625,50817,large,False
weiaicunzai/pytorch-cifar100,stars:1000-5000,4771,,False,False,True,0,0,,False
LazoVelko/Pokemon-Terminal,stars:1000-5000,4771,gpl-3.0,False,True,True,69092,1974,small_strict,True
IrisRainbowNeko/genshin_auto_fish,stars:1000-5000,4769,,False,False,True,0,0,,False
miguelgrinberg/microblog,stars:1000-5000,4768,mit,False,True,True,64320,1837,small_strict,True
diafygi/acme-tiny,stars:1000-5000,4768,mit,False,True,True,45327,1295,small_strict,True
amundsen-io/amundsen,stars:1000-5000,4767,apache-2.0,False,True,True,3828379,109382,large,False
aipotheosis-labs/aci,stars:1000-5000,4762,apache-2.0,False,True,True,868739,24821,medium,False
yanshengjia/ml-road,stars:1000-5000,4763,mit,False,True,True,18630,532,small_extended,True
facebookresearch/lingua,stars:1000-5000,4761,bsd-3-clause,False,True,True,526983,15056,medium,False
sshwsfc/xadmin,stars:1000-5000,4759,bsd-3-clause,False,True,True,458048,13087,medium,False
nameko/nameko,stars:1000-5000,4758,apache-2.0,False,True,True,628800,17965,medium,False
gusmanb/logicanalyzer,stars:1000-5000,4757,gpl-3.0,False,True,True,1759118,50260,large,False
sjvasquez/handwriting-synthesis,stars:1000-5000,4757,,False,False,True,0,0,,False
pytorch/ignite,stars:1000-5000,4753,bsd-3-clause,False,True,True,2814816,80423,large,False
